"","8Name","Director Name","rating","Likes","NA"
"1","The Shawshank Redemption","Frank Darabont","9.3","2,301,258","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"2","The Godfather","Francis Ford Coppola","9.2","1,588,236","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"3","The Dark Knight","Christopher Nolan","9.0","2,265,097","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"4","The Godfather: Part II","Francis Ford Coppola","9.0","1,109,745","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"5","The Lord of the Rings: The Return of the King","Peter Jackson","8.9","1,617,355","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"6","Pulp Fiction","Quentin Tarantino","8.9","1,796,596","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"7","Schindler's List","Steven Spielberg","8.9","1,194,219","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"8","12 Angry Men","Sidney Lumet","8.9","676,306","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"9","Inception","Christopher Nolan","8.8","2,027,075","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"10","Fight Club","David Fincher","8.8","1,823,914","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"11","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","8.8","1,633,153","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"12","Forrest Gump","Robert Zemeckis","8.8","1,773,354","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"13","Il buono, il brutto, il cattivo","Sergio Leone","8.8","678,337","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"14","The Lord of the Rings: The Two Towers","Peter Jackson","8.7","1,461,878","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"15","The Matrix","Lana Wachowski","8.7","1,647,269","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"16","Goodfellas","Martin Scorsese","8.7","1,001,827","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"17","Star Wars: Episode V - The Empire Strikes Back","Irvin Kershner","8.7","1,141,302","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"18","One Flew Over the Cuckoo's Nest","Milos Forman","8.7","903,562","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"19","Hamilton","Thomas Kail","8.6","45,390","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"20","Gisaengchung","Bong Joon Ho","8.6","500,614","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"21","Vikram Vedha","Gayatri","8.6","25,402","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"22","Interstellar","Christopher Nolan","8.6","1,472,875","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"23","Cidade de Deus","Fernando Meirelles","8.6","690,721","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"24","Sen to Chihiro no kamikakushi","Hayao Miyazaki","8.6","635,636","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"25","Saving Private Ryan","Steven Spielberg","8.6","1,215,150","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"26","The Green Mile","Frank Darabont","8.6","1,125,011","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"27","La vita è bella","Roberto Benigni","8.6","612,154","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"28","Se7en","David Fincher","8.6","1,417,566","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"29","The Silence of the Lambs","Jonathan Demme","8.6","1,248,146","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"30","Star Wars","George Lucas","8.6","1,213,047","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"31","Seppuku","Masaki Kobayashi","8.6","39,127","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"32","Shichinin no samurai","Akira Kurosawa","8.6","311,025","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"33","It's a Wonderful Life","Frank Capra","8.6","391,530","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"34","Joker","Todd Phillips","8.5","888,894","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"35","Whiplash","Damien Chazelle","8.5","699,781","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"36","The Intouchables","Olivier Nakache","8.5","744,175","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"37","The Prestige","Christopher Nolan","8.5","1,167,779","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"38","The Departed","Martin Scorsese","8.5","1,170,011","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"39","The Pianist","Roman Polanski","8.5","715,558","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"40","Gladiator","Ridley Scott","8.5","1,319,620","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"41","American History X","Tony Kaye","8.5","1,021,680","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"42","The Usual Suspects","Bryan Singer","8.5","977,036","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"43","Léon","Luc Besson","8.5","1,017,515","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"44","The Lion King","Roger Allers","8.5","925,947","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"45","Terminator 2: Judgment Day","James Cameron","8.5","982,602","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"46","Nuovo Cinema Paradiso","Giuseppe Tornatore","8.5","225,912","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"47","Hotaru no haka","Isao Takahata","8.5","229,199","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"48","Back to the Future","Robert Zemeckis","8.5","1,038,673","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"49","Once Upon a Time in the West","Sergio Leone","8.5","298,344","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
"50","Psycho","Alfred Hitchcock","8.5","594,333","https://www.imdb.com/search/title/?groups=top_250&sort=user_rating"
